actual_MLR,pred_MLR,error_MLR,actual_MLR,pred_MLR,error_MLR,actual_MLR,pred_MLR,error_MLR,actual_MLR,pred_MLR,error_MLR,lable,index
3.776,3.149,-0.627,3.776,3.25,-0.526,3.776,3.296,-0.48,1.383,1.513,0.13,CV,22
1.477,2.188,0.711,1.477,2.158,0.681,1.477,2.294,0.817,1.847,1.421,-0.426,CV,23
0.643,1.175,0.532,0.643,1.21,0.567,0.643,1.325,0.682,1.432,1.274,-0.158,CV,24
1.986,1.755,-0.231,1.986,1.837,-0.149,1.986,1.733,-0.253,-0.222,-0.386,-0.164,CV,25
4.84,4.135,-0.705,4.84,4.283,-0.557,4.84,4.029,-0.811,2.102,2.182,0.08,CV,26
2.971,2.567,-0.404,2.971,2.455,-0.516,2.971,2.599,-0.372,1.892,1.834,-0.058,CV,27
2.655,2.195,-0.46,2.655,2.39,-0.265,2.655,2.3,-0.355,1.293,1.181,-0.112,CV,28
2.1,2.031,-0.069,2.1,2.186,0.086,2.1,2.101,0.001,2.629,2.802,0.173,CV,29
2.8,2.669,-0.131,2.8,2.581,-0.219,2.8,2.673,-0.127,2.353,2.36,0.007,CV,30
2.75,2.419,-0.331,2.75,2.272,-0.478,2.75,2.456,-0.294,2.393,2.519,0.126,CV,31
4.7,4.041,-0.659,4.7,3.953,-0.747,4.7,3.966,-0.734,2.255,2.182,-0.073,CV,32
2.4,2.359,-0.041,2.4,2.487,0.087,2.4,2.505,0.105,2.597,1.96,-0.637,CV,33
1.7,2.643,0.943,1.7,2.468,0.768,1.7,2.633,0.933,2.236,2.585,0.349,CV,34
2.26,1.257,-1.003,2.26,1.579,-0.681,2.26,1.59,-0.67,2.373,0.99,-1.383,CV,35
2.187,2.818,0.631,2.187,2.662,0.475,2.187,2.589,0.402,1.888,1.774,-0.114,CV,36
3.83,5.048,1.218,3.83,3.342,-0.488,3.83,4.883,1.053,2.237,2.666,0.429,CV,37
1.698,1.477,-0.221,1.698,1.66,-0.038,1.698,1.679,-0.019,2.732,2.917,0.185,CV,38
2.04,2.263,0.223,2.04,2.631,0.591,2.04,2.48,0.44,2.52,3.129,0.609,CV,39
3,2.631,-0.369,3,2.535,-0.465,3,2.603,-0.397,2.334,2.313,-0.021,CV,40
3.12,3.548,0.428,3.12,3.199,0.079,3.12,3.595,0.475,2.462,4.06,1.598,CV,41
2.922,3.325,0.403,2.922,3.656,0.734,2.922,3.208,0.286,2.508,2.568,0.06,CV,42
2.61,2.963,0.353,2.61,2.505,-0.105,2.61,2.943,0.333,3.283,3.297,0.014,CV,43
2.9,2.761,-0.139,2.9,2.509,-0.391,2.9,2.717,-0.183,2.425,2.552,0.127,CV,44
3,1.971,-1.029,3,2.124,-0.876,3,1.664,-1.336,2.54,2.334,-0.206,CV,45
2.63,3.333,0.703,2.63,3.099,0.469,2.63,3.382,0.752,2.082,2.302,0.22,CV,46
2.5,2.826,0.326,2.5,2.536,0.036,2.5,2.707,0.207,2.931,2.846,-0.085,CV,47
3,2.501,-0.499,3,2.614,-0.386,3,2.534,-0.466,2.453,3.107,0.654,CV,48
2.56,2.618,0.058,2.56,2.708,0.148,2.56,2.512,-0.048,3.463,3.781,0.318,CV,49
1.464,1.461,-0.003,1.464,1.577,0.113,1.464,1.575,0.111,3.327,3.705,0.378,CV,50
1.6,1.85,0.25,1.6,2.124,0.524,1.6,1.818,0.218,2.913,3.363,0.45,CV,51
2,1.84,-0.16,2,1.473,-0.527,2,1.692,-0.308,2.882,2.22,-0.662,CV,52
1.93,2.123,0.193,1.93,2.121,0.191,1.93,2.088,0.158,4.7,5.64,0.94,CV,53
2.778,2.871,0.093,2.778,3.149,0.371,2.778,3.108,0.33,4.023,3.869,-0.154,CV,54
4.39,3.921,-0.469,4.39,4.489,0.099,4.39,3.974,-0.416,3.351,3.401,0.05,CV,55
5.64,4.639,-1.001,5.64,4.467,-1.173,5.64,4.533,-1.107,3.977,3.722,-0.255,CV,56
1.18,1.947,0.767,1.18,1.963,0.783,1.18,1.921,0.741,3.568,2.69,-0.878,CV,57
1.595,1.393,-0.202,1.595,1.671,0.076,1.595,1.608,0.013,4.056,3.934,-0.122,CV,58
1.544,1.72,0.176,1.544,1.922,0.378,1.544,1.821,0.277,5.152,5.805,0.653,CV,59
1.34,2.152,0.812,1.34,2.208,0.868,1.34,2.2,0.86,2.34,1.8,-0.54,CV,60
2.78,3.054,0.274,2.78,2.938,0.158,2.78,3.265,0.485,2.812,2.5,-0.312,CV,61
3.24,2.564,-0.676,3.24,2.338,-0.902,3.24,2.463,-0.777,4.606,4.2,-0.406,CV,62
1.856,1.79,-0.066,1.856,1.906,0.05,1.856,1.935,0.079,3.482,3.1,-0.382,CV,63
2.944,2.225,-0.719,2.944,2.336,-0.608,2.944,2.342,-0.602,3.427,2.85,-0.577,CV,64
-0.386,-0.075,0.311,-0.386,0.891,1.277,-0.386,-0.181,0.205,3.294,3.03,-0.264,CV,65
2.31,1.784,-0.526,2.31,1.902,-0.408,2.31,1.632,-0.678,2.094,2.55,0.456,CV,66
3.036,2.699,-0.337,3.036,2.666,-0.37,3.036,2.761,-0.275,2.366,1.3,-1.066,CV,67
1.747,1.496,-0.251,1.747,1.793,0.046,1.747,1.599,-0.148,2.274,2.54,0.266,CV,68
1.3,2.158,0.858,1.3,2.441,1.141,1.3,2.272,0.972,2.176,1.43,-0.746,CV,69
2.26,2.724,0.464,2.26,2.394,0.134,2.26,2.697,0.437,2.244,1.48,-0.764,CV,70
4.88,4.841,-0.039,4.88,4.607,-0.273,4.88,4.875,-0.005,2.363,1.95,-0.413,CV,71
2.231,1.766,-0.465,2.231,1.839,-0.392,2.231,2.08,-0.151,1.723,2,0.277,CV,72
3.83,5.065,1.235,3.83,4.6,0.77,3.83,4.828,0.998,2.727,2.26,-0.467,CV,73
2.661,2.089,-0.572,2.661,2.26,-0.401,2.661,2.166,-0.495,2.826,3.18,0.354,CV,74
1.682,1.744,0.062,1.682,1.842,0.16,1.682,2.011,0.329,2.361,1.54,-0.821,CV,75
1.46,1.549,0.089,1.46,2.082,0.622,1.46,1.238,-0.222,1.602,1.56,-0.042,CV,76
2.25,2.738,0.488,2.25,2.471,0.221,2.25,2.563,0.313,0.889,0.45,-0.439,CV,77
1.8,2.059,0.259,1.8,1.923,0.123,1.8,2.13,0.33,1.39,1.46,0.07,CV,78
1.66,1.922,0.262,1.66,2.011,0.351,1.66,1.927,0.267,2.869,2.16,-0.709,CV,79
6.03,4.855,-1.175,6.03,5.01,-1.02,6.03,4.993,-1.037,3.432,3.91,0.478,CV,80
2.046,2.203,0.157,2.046,2.056,0.01,2.046,2.116,0.07,3.607,4.18,0.573,CV,81
3.29,3.601,0.311,3.29,3.175,-0.115,3.29,3.6,0.31,5.177,6.03,0.853,CV,82
0.485,1.407,0.922,0.485,1.981,1.496,0.485,1.131,0.646,3.248,3.07,-0.178,CV,83
1.9,2.479,0.579,1.9,2.447,0.547,1.9,2.503,0.603,2.942,2.04,-0.902,CV,84
1.774,1.737,-0.037,1.774,1.624,-0.15,1.774,1.749,-0.025,2.102,2.41,0.308,CV,85
3.7,3.429,-0.271,3.7,3.543,-0.157,3.7,3.244,-0.456,0.423,1.8,1.377,CV,86
1.66,1.652,-0.008,1.66,1.894,0.234,1.66,1.813,0.153,3.59,3.29,-0.3,CV,87
3.02,2.738,-0.282,3.02,2.572,-0.448,3.02,2.785,-0.235,2.751,2.85,0.099,CV,88
4.173,4.461,0.288,4.173,4.014,-0.159,4.173,4.438,0.265,5.088,5.31,0.222,CV,89
3.558,3.717,0.159,3.558,3.687,0.129,3.558,3.699,0.141,3.297,4.4,1.103,CV,90
0.441,0.507,0.066,0.441,1.562,1.121,0.441,0.384,-0.057,2.986,3,0.014,CV,91
3.4,2.665,-0.735,3.4,2.911,-0.489,3.4,2.332,-1.068,2.656,2.3,-0.356,CV,92
1.877,1.4,-0.477,1.877,1.581,-0.296,1.877,1.562,-0.315,2.524,1.38,-1.144,CV,93
3.852,2.899,-0.953,3.852,3.075,-0.777,3.852,3.16,-0.692,2.114,1.342,-0.772,CV,94
3.38,2.729,-0.651,3.38,2.612,-0.768,3.38,3.039,-0.341,1.749,1.544,-0.205,CV,95
2.737,2.527,-0.21,2.737,2.412,-0.325,2.737,2.508,-0.229,2.1,1.477,-0.623,CV,96
0.599,0.676,0.077,0.599,1.042,0.443,0.599,0.577,-0.022,3.142,2.301,-0.841,CV,97
1,1.183,0.183,1,1.603,0.603,1,1.237,0.237,3.634,3.268,-0.366,CV,98
3.58,3.045,-0.535,3.58,2.918,-0.662,3.58,2.903,-0.677,2.479,2.243,-0.236,CV,99
5.9,5.118,-0.782,5.9,3.335,-2.565,5.9,4.872,-1.028,2.474,1.832,-0.642,CV,100
4.093,2.806,-1.287,4.093,1.398,-2.695,4.093,2.694,-1.399,3.351,4.204,0.853,CV,101
2.389,2.176,-0.213,2.389,1.958,-0.431,2.389,2.214,-0.175,2.887,2.18,-0.707,CV,102
2.204,2.242,0.038,2.204,2.316,0.112,2.204,2.485,0.281,4.099,5,0.901,CV,103
0.828,1.013,0.185,0.828,1.33,0.502,0.828,1.109,0.281,4.381,4.63,0.249,CV,104
4.85,3.3,-1.55,4.85,5.761,0.911,4.85,2.856,-1.994,0.579,1.567,0.988,CV,105
2.073,1.88,-0.193,2.073,1.877,-0.196,2.073,2.041,-0.032,1.724,2.231,0.507,CV,106
2.6,2.417,-0.183,2.6,2.351,-0.249,2.6,2.445,-0.155,1.014,1.6,0.586,CV,107
4.179,4.582,0.403,4.179,3.968,-0.211,4.179,4.474,0.295,2.281,2.465,0.184,CV,108
5.89,5.779,-0.111,5.89,3.449,-2.441,5.89,5.296,-0.594,1.568,1.143,-0.425,CV,109
3.781,3.485,-0.296,3.781,3.537,-0.244,3.781,3.593,-0.188,2.237,2.411,0.174,CV,110
2.541,2.299,-0.242,2.541,2.095,-0.446,2.541,2.253,-0.288,1.187,0.828,-0.359,CV,111
0.45,1.084,0.634,0.45,1.796,1.346,0.45,0.833,0.383,1.71,1.518,-0.192,CV,112
2.78,3.073,0.293,2.78,3.311,0.531,2.78,3.247,0.467,1.361,1.159,-0.202,CV,113
3.977,4.288,0.311,3.977,3.731,-0.246,3.977,4.052,0.075,2.125,2.362,0.237,CV,114
2.237,2.21,-0.027,2.237,2.286,0.049,2.237,2.136,-0.101,0.919,1.121,0.202,CV,115
1.5,2.17,0.67,1.5,2.602,1.102,1.5,2.234,0.734,1.935,2.171,0.236,CV,116
4.5,3.647,-0.853,4.5,4.385,-0.115,4.5,3.992,-0.508,1.592,1.883,0.291,CV,117
2.61,2.113,-0.497,2.61,2.175,-0.435,2.61,2.103,-0.507,1.92,1.943,0.023,CV,118
3.4,3.011,-0.389,3.4,2.724,-0.676,3.4,2.88,-0.52,1.747,1.627,-0.12,CV,119
3.6,3.905,0.305,3.6,4.202,0.602,3.6,4.144,0.544,1.341,0.958,-0.383,CV,120
1.627,1.127,-0.5,1.627,1.046,-0.581,1.627,1.056,-0.571,2.452,2.873,0.421,CV,121
2.786,2.996,0.21,2.786,3.216,0.43,2.786,2.835,0.049,1.689,1.627,-0.062,CV,122
1.812,1.916,0.104,1.812,1.607,-0.205,1.812,1.712,-0.1,1.843,1.731,-0.112,CV,123
3.26,3.098,-0.162,3.26,3.368,0.108,3.26,3.063,-0.197,1.38,1.263,-0.117,CV,124
4.472,3.093,-1.379,4.472,3.249,-1.223,4.472,3.301,-1.171,1.501,1.905,0.404,CV,125
1.513,1.348,-0.165,1.513,1.551,0.038,1.513,1.409,-0.104,1.902,2.035,0.133,CV,126
1.64,1.764,0.124,1.64,0.557,-1.083,1.64,1.363,-0.277,2.872,3.254,0.382,CV,127
2.362,2.257,-0.105,2.362,2.682,0.32,2.362,2.348,-0.014,2.473,2.557,0.084,CV,128
2.117,2.332,0.215,2.117,2.507,0.39,2.117,2.208,0.091,2.287,2.6,0.313,CV,129
1.567,0.881,-0.686,1.567,1.131,-0.436,1.567,1.097,-0.47,2.367,2.715,0.348,CV,130
3.553,3.294,-0.259,3.553,3.236,-0.317,3.553,3.091,-0.462,2.286,2.06,-0.226,CV,131
2.477,2.734,0.257,2.477,2.439,-0.038,2.477,2.47,-0.007,2.36,2.345,-0.015,CV,132
2.01,2.039,0.029,2.01,2.15,0.14,2.01,1.811,-0.199,2.04,2.128,0.088,CV,133
2.87,2.137,-0.733,2.87,2.093,-0.777,2.87,2.061,-0.809,2.022,2.367,0.345,CV,134
1.8,0.415,-1.385,1.8,1.076,-0.724,1.8,0.394,-1.406,3.095,3.553,0.458,CV,135
5.07,6.06,0.99,5.07,1.672,-3.398,5.07,6.268,1.198,1.606,1.812,0.206,CV,136
4.66,3.701,-0.959,4.66,2.953,-1.707,4.66,3.499,-1.161,1.948,1.25,-0.698,CV,137
1.38,2.497,1.117,1.38,2.666,1.286,1.38,2.405,1.025,2.065,2.36,0.295,CV,138
2.278,2.245,-0.033,2.278,2.238,-0.04,2.278,2.191,-0.087,2.758,3.237,0.479,CV,139
2.86,3.543,0.683,2.86,3.617,0.757,2.86,3.456,0.596,2.448,1.74,-0.708,CV,140
3.237,2.618,-0.619,3.237,2.902,-0.335,3.237,2.594,-0.643,2.764,2.683,-0.081,CV,141
6.1,4.824,-1.276,6.1,4.765,-1.335,6.1,4.901,-1.199,1.89,1.6,-0.29,CV,142
1.56,1.712,0.152,1.56,1.705,0.145,1.56,1.524,-0.036,2.286,2.606,0.32,CV,143
3.254,2.837,-0.417,3.254,3.222,-0.032,3.254,2.942,-0.312,2.256,2.65,0.394,CV,144
1.888,2.056,0.168,1.888,2.392,0.504,1.888,2.194,0.306,2.961,2.77,-0.191,CV,145
2.476,2.251,-0.225,2.476,2.389,-0.087,2.476,2.144,-0.332,2.822,2.955,0.133,CV,146
1.883,1.432,-0.451,1.883,1.632,-0.251,1.883,1.509,-0.374,3.035,3.27,0.235,CV,147
1.45,1.291,-0.159,1.45,1.658,0.208,1.45,1.403,-0.047,2.403,2.133,-0.27,CV,148
1.981,2.039,0.058,1.981,2.185,0.204,1.981,1.968,-0.013,1.978,2.64,0.662,CV,149
2.78,2.397,-0.383,2.78,2.074,-0.706,2.78,2.174,-0.606,1.288,2.362,1.074,CV,150
2.237,1.919,-0.318,2.237,2.183,-0.054,2.237,1.887,-0.35,3.296,3.542,0.246,CV,151
1.442,0.761,-0.681,1.442,1.296,-0.146,1.442,0.93,-0.512,3.286,3.237,-0.049,CV,152
4.695,4.492,-0.203,4.695,4.593,-0.102,4.695,4.688,-0.007,2.633,2.965,0.332,CV,153
1.518,1.595,0.077,1.518,1.932,0.414,1.518,1.622,0.104,2.775,3.053,0.278,CV,154
2.781,2.383,-0.398,2.781,2.681,-0.1,2.781,2.36,-0.421,3.418,3.499,0.081,CV,155
2.481,2.516,0.035,2.481,2.527,0.046,2.481,2.557,0.076,2.753,3.32,0.567,CV,156
3.18,2.963,-0.217,3.18,2.709,-0.471,3.18,3.129,-0.051,1.869,1.55,-0.319,CV,157
3,2.651,-0.349,3,2.459,-0.541,3,2.472,-0.528,2.958,3.428,0.47,CV,158
5.37,4.31,-1.06,5.37,5.411,0.041,5.37,4.278,-1.092,5.191,3.83,-1.361,CV,159
4.82,4.614,-0.206,4.82,5.19,0.37,4.82,4.432,-0.388,4.652,5,0.348,CV,160
2.88,3.167,0.287,2.88,3.27,0.39,2.88,3.094,0.214,4.233,4.7,0.467,CV,161
1,1.421,0.421,1,1.815,0.815,1,1.587,0.587,3.259,2.373,-0.886,CV,162
2.035,1.976,-0.059,2.035,2.173,0.138,2.035,2.072,0.037,3.449,2.922,-0.527,CV,163
3.602,3.192,-0.41,3.602,3.426,-0.176,3.602,3.397,-0.205,3.082,3.232,0.15,CV,164
2.188,2.387,0.199,2.188,2.65,0.462,2.188,2.47,0.282,3.876,3.781,-0.095,CV,165
2.96,3.523,0.563,2.96,3.184,0.224,2.96,3.614,0.654,4.196,4.38,0.184,CV,166
4.037,3.443,-0.594,4.037,3.738,-0.299,4.037,3.623,-0.414,2.509,2.421,-0.088,CV,167
3.43,3.809,0.379,3.43,3.631,0.201,3.43,3.697,0.267,4.883,4.505,-0.378,CV,168
2.32,2.874,0.554,2.32,3.105,0.785,2.32,2.851,0.531,2.528,1.829,-0.699,CV,169
1.616,1.435,-0.181,1.616,1.432,-0.184,1.616,1.532,-0.084,2.669,4.472,1.803,CV,170
4.23,4.071,-0.159,4.23,5.046,0.816,4.23,4.029,-0.201,5.028,4.891,-0.137,CV,171
2.63,2.665,0.035,2.63,2.516,-0.114,2.63,2.555,-0.075,5.365,5.533,0.168,CV,172
3.67,4.059,0.389,3.67,3.903,0.233,3.67,3.901,0.231,3.749,3.379,-0.37,CV,173
3.945,3.367,-0.578,3.945,3.316,-0.629,3.945,3.41,-0.535,5.212,6.1,0.888,CV,174
2.443,2.627,0.184,2.443,2.633,0.19,2.443,2.501,0.058,5.537,6.1,0.563,CV,175
2.55,2.583,0.033,2.55,3.634,1.084,2.55,2.548,-0.002,2.539,1.9,-0.639,CV,176
2.01,1.816,-0.194,2.01,1.739,-0.271,2.01,1.746,-0.264,1.882,1.5,-0.382,CV,177
1.475,1.318,-0.157,1.475,1.623,0.148,1.475,1.474,-0.001,2.159,1.6,-0.559,CV,178
1.263,1.229,-0.034,1.263,1.285,0.022,1.263,1.313,0.05,3.191,3.6,0.409,CV,179
5,4.2,-0.8,5,4.243,-0.757,5,4.291,-0.709,2.664,1.14,-1.524,CV,180
2.683,2.018,-0.665,2.683,2.28,-0.403,2.683,2.054,-0.629,3.094,1.89,-1.204,CV,181
2.568,2.428,-0.14,2.568,2.852,0.284,2.568,2.532,-0.036,3.155,1.9,-1.255,CV,182
3.471,2.97,-0.501,3.471,3.418,-0.053,3.471,3.131,-0.34,3.002,2.5,-0.502,CV,183
1.627,1.643,0.016,1.627,1.662,0.035,1.627,1.584,-0.043,2.892,3.1,0.208,CV,184
1.5,1.976,0.476,1.5,2.138,0.638,1.5,2.055,0.555,3.7,4.3,0.6,CV,185
1.45,2.28,0.83,1.45,2.375,0.925,1.45,2.363,0.913,2.262,1.3,-0.962,CV,186
3.553,3.289,-0.264,3.553,3.508,-0.045,3.553,3.39,-0.163,2.655,3.4,0.745,CV,187
4.48,4.25,-0.23,4.48,5.045,0.565,4.48,4.05,-0.43,3.323,3.55,0.227,CV,188
1.6,2.013,0.413,1.6,2.264,0.664,1.6,2.083,0.483,2.654,2.49,-0.164,CV,189
2.035,1.734,-0.301,2.035,1.774,-0.261,2.035,1.915,-0.12,4.002,3.92,-0.082,CV,190
6.64,5.415,-1.225,6.64,5.426,-1.214,6.64,5.59,-1.05,5.743,6.2,0.457,CV,191
4.06,6.538,2.478,4.06,3.938,-0.122,4.06,6.827,2.767,1.883,1.57,-0.313,CV,192
2.29,2.699,0.409,2.29,2.748,0.458,2.29,2.548,0.258,2.396,2.56,0.164,CV,193
1.834,1.494,-0.34,1.834,1.678,-0.156,1.834,1.672,-0.162,2.706,2.31,-0.396,CV,194
5.62,5.135,-0.485,5.62,5.252,-0.368,5.62,5.148,-0.472,2.535,2.1,-0.435,CV,195
2.786,2.812,0.026,2.786,2.96,0.174,2.786,2.659,-0.127,3.171,3.55,0.379,CV,196
3.852,3.525,-0.327,3.852,3.63,-0.222,3.852,3.533,-0.319,1.653,1.4,-0.253,CV,197
2.933,2.194,-0.739,2.933,2.545,-0.388,2.933,2.318,-0.615,2.586,1.71,-0.876,CV,198
2.71,4.056,1.346,2.71,4.761,2.051,2.71,3.997,1.287,2.417,2.1,-0.317,CV,199
3.129,2.52,-0.609,3.129,2.743,-0.386,3.129,2.627,-0.502,1.196,2.14,0.944,CV,200
2.76,2.593,-0.167,2.76,2.417,-0.343,2.76,2.298,-0.462,2.69,2.78,0.09,CV,201
1.905,1.512,-0.393,1.905,1.613,-0.292,1.905,1.707,-0.198,2.833,3,0.167,CV,202
3.798,3.608,-0.19,3.798,3.387,-0.411,3.798,3.354,-0.444,3.764,3.98,0.216,CV,203
1.51,1.736,0.226,1.51,1.925,0.415,1.51,1.795,0.285,2.646,2.33,-0.316,CV,204
2.454,2.345,-0.109,2.454,2.551,0.097,2.454,2.297,-0.157,1.478,3,1.522,CV,205
2.36,2.644,0.284,2.36,2.817,0.457,2.36,2.725,0.365,2.593,2.76,0.167,CV,206
0.4,1.705,1.305,0.4,2.064,1.664,0.4,1.726,1.326,2.829,3.44,0.611,CV,207
3.28,2.854,-0.426,3.28,2.648,-0.632,3.28,2.968,-0.312,2.796,2.3,-0.496,CV,208
4,3.891,-0.109,4,3.7,-0.3,4,3.906,-0.094,1.942,2.19,0.248,CV,209
4.6,4.635,0.035,4.6,5.437,0.837,4.6,4.54,-0.06,1.729,1.79,0.061,CV,210
3.036,2.862,-0.174,3.036,3.111,0.075,3.036,2.938,-0.098,2.654,3.83,1.176,CV,211
3.21,5.744,2.534,3.21,6.482,3.272,3.21,6.034,2.824,4.288,3.7,-0.588,CV,212
2.693,2.471,-0.222,2.693,2.596,-0.097,2.693,2.498,-0.195,3.168,3.96,0.792,CV,213
4.31,4.58,0.27,4.31,4.648,0.338,4.31,4.407,0.097,3.712,3.9,0.188,CV,214
3.009,2.903,-0.106,3.009,2.828,-0.181,3.009,2.709,-0.3,3.518,3.7,0.182,CV,215
2.602,2.636,0.034,2.602,2.622,0.02,2.602,2.642,0.04,3.408,4.2,0.792,CV,216
1.731,1.761,0.03,1.731,2.1,0.369,1.731,1.865,0.134,4.465,3.72,-0.745,CV,217
2.36,2.536,0.176,2.36,2.598,0.238,2.36,2.498,0.138,3.407,3,-0.407,CV,218
1.682,1.568,-0.114,1.682,1.578,-0.104,1.682,1.658,-0.024,3.363,2.78,-0.583,CV,219
2.296,2.012,-0.284,2.296,2.401,0.105,2.296,2.202,-0.094,2.74,2.08,-0.66,CV,220
3.403,3.987,0.584,3.403,3.342,-0.061,3.403,4.351,0.948,2.362,1.9,-0.462,CV,221
3.32,2.897,-0.423,3.32,3.32,0,3.32,2.831,-0.489,4.038,4.39,0.352,CV,222
3.84,3.534,-0.306,3.84,3.501,-0.339,3.84,3.33,-0.51,2.682,1.51,-1.172,CV,223
6,4.878,-1.122,6,5.281,-0.719,6,4.802,-1.198,3.045,2.434,-0.611,CV,224
3.074,2.89,-0.184,3.074,2.957,-0.117,3.074,2.922,-0.152,2.451,2.657,0.206,CV,225
5.31,5.067,-0.243,5.31,4.979,-0.331,5.31,4.64,-0.67,3.124,4.255,1.131,CV,226
2.596,2.4,-0.196,2.596,2.52,-0.076,2.596,2.497,-0.099,1.908,2.426,0.518,CV,227
5,5.099,0.099,5,4.69,-0.31,5,5.145,0.145,2.995,3.602,0.607,CV,228
2.8,2.394,-0.406,2.8,2.617,-0.183,2.8,2.362,-0.438,3.37,3.652,0.282,CV,229
2.182,2.046,-0.136,2.182,2.247,0.065,2.182,2.171,-0.011,0.965,0.42,-0.545,CV,230
0.15,0.245,0.095,0.15,-0.019,-0.169,0.15,0.058,-0.092,4.256,5.15,0.894,CV,231
1.9,2.365,0.465,1.9,1.718,-0.182,1.9,2.433,0.533,2.453,2.75,0.297,CV,232
1.965,2.279,0.314,1.965,0.781,-1.184,1.965,2.267,0.302,2.408,1.41,-0.998,CV,233
2.8,2.116,-0.684,2.8,2.36,-0.44,2.8,2.01,-0.79,3.705,2.51,-1.195,CV,234
2.92,2.766,-0.154,2.92,4.432,1.512,2.92,2.97,0.05,2.359,3.237,0.878,CV,235
1.263,1.201,-0.062,1.263,1.361,0.098,1.263,1.162,-0.101,2.298,2.552,0.254,CV,236
1.693,1.77,0.077,1.693,1.275,-0.418,1.693,1.842,0.149,2.026,2.672,0.646,CV,237
3.76,4.499,0.739,3.76,3.661,-0.099,3.76,4.531,0.771,1.51,1.431,-0.079,CV,238
1.93,1.652,-0.278,1.93,1.324,-0.606,1.93,1.589,-0.341,1.289,1.306,0.017,CV,239
3.268,3.12,-0.148,3.268,2.432,-0.836,3.268,3.298,0.03,0.895,2.258,1.363,CV,240
4.472,4.604,0.132,4.472,3.646,-0.826,4.472,4.632,0.16,0.571,0.42,-0.151,CV,241
1.513,0.889,-0.624,1.513,1.033,-0.48,1.513,0.799,-0.714,2.382,2.362,-0.02,CV,242
0,1.42,1.42,0,0.524,0.524,0,1.039,1.039,1.744,1.464,-0.28,CV,243
2.492,2.187,-0.305,2.492,1.722,-0.77,2.492,2.272,-0.22,1.573,1.785,0.212,CV,244
2.34,2.17,-0.17,2.34,1.694,-0.646,2.34,2.286,-0.054,1.319,1.056,-0.263,CV,245
1.888,2.203,0.315,1.888,1.553,-0.335,1.888,2.131,0.243,1.872,1.693,-0.179,CV,246
2.171,2.416,0.245,2.171,1.54,-0.631,2.171,2.441,0.27,3.744,4.119,0.375,CV,247
1.18,2.205,1.025,1.18,1.717,0.537,1.18,2.202,1.022,2.682,2.748,0.066,CV,248
5.022,5.276,0.254,5.022,4.514,-0.508,5.022,5.188,0.166,2.05,1.888,-0.162,CV,249
2.04,2.234,0.194,2.04,1.786,-0.254,2.04,1.981,-0.059,2.754,2.53,-0.224,CV,250
2.481,2.306,-0.175,2.481,1.8,-0.681,2.481,2.375,-0.106,2.923,3.417,0.494,CV,251
2.541,2.45,-0.091,2.541,1.986,-0.555,2.541,2.398,-0.143,2.426,2.596,0.17,CV,252
